"Sl No","Txn Date","Description","Cheque No","Withdrawal (in Rs.)","Deposits (in Rs.)","Balance (in Rs.)","Page Number","Minus"
"494","26/05/2026","IBNEFT/IOBA/DURGAPHARMACEUTICALS","","10,022.00","","51,122.10","13","1"
"495","26/05/2026","IBNEFT/SBIN/RAMESH AGENCIES","","6,343.00","","44,779.10","13","1"
"496","26/05/2026","IBNEFT/SBIN/OSWAL ENTERPRISES","","15,701.00","","29,078.10","13","1"
"497","26/05/2026","IBNEFT/CNRB/AMAR SALES","","5,010.00","","24,068.10","13","1"
"498","26/05/2026","IBNEFT/SCBL/HOLLY DRUGS PVT LTD","","13,059.00","","11,009.10","13","1"
"499","26/05/2026","MILLENNIUM MEDISOLUT","403767","23,477.00","","-12,467.90","13","1"
"500","26/05/2026","JOHAR ENTERPRISES","403770","10,355.00","","-22,822.90","13","1"
"501","26/05/2026","JOSHI PHARMA","403769","8,458.00","","-31,280.90","13","1"
"502","27/05/2026","NEFT/AXNPN14771690400/UTIB/PHONEPELIMITED-PAYMENT","","","54,348.27","23,067.37","13","1"
"503","27/05/2026","EDCPOS Credit / ANIL MEDICAL HA/ 27-05-2026","","","9,385.44","32,452.81","13","1"
"504","27/05/2026","Guru Nanak Medicos P","403772","5,524.00","","26,928.81","13","1"
"505","28/05/2026","NEFT/AXNPN14880322578/UTIB/PHONEPELIMITED-PAYMENT","","","57,869.33","84,798.14","13","1"
"506","28/05/2026","EDCPOS Credit / ANIL MEDICAL HA/ 28-05-2026","","","29,455.74","1,14,253.88","13","1"
"507","29/05/2026","NEFT/AXNPN14987801878/UTIB/PHONEPELIMITED-PAYMENT","","","45,705.00","1,59,958.88","13","1"
"508","29/05/2026","NEFT/IN22614908618741/ICIC/RETAILSCAN MANAGEMENT","","","250.00","1,60,208.88","13","1"
"509","29/05/2026","NEFT/IN22614908619048/ICIC/RETAILSCAN MANAGEMENT","","","150.00","1,60,358.88","13","1"
"510","29/05/2026","VAISHNAVI ENTERPRISE","403778","5,749.00","","1,54,609.88","13","1"
"511","29/05/2026","V R ENTERPRISES","403774","4,907.00","","1,49,702.88","13","1"
"512","29/05/2026","Medisurge","403775","15,476.00","","1,34,226.88","13","1"
"513","29/05/2026","MK AGENCIES","403779","4,849.00","","1,29,377.88","13","1"
"514","29/05/2026","StUBP-205035400/ELECTRICITY BILL","","2,302.00","","1,27,075.88","13","1"
"515","29/05/2026","StUBP-205035490/ELECTRICITY BILL","","985.00","","1,26,090.88","13","1"
"516","29/05/2026","StUBP-205035603/ELECTRICITY BILL","","5,465.00","","1,20,625.88","13","1"
"517","30/05/2026","NEFT/AXNPN15096005939/UTIB/PHONEPELIMITED-PAYMENT","","","60,481.80","1,81,107.68","13","1"
"518","30/05/2026","EDCPOS Credit / ANIL MEDICAL HA/ 30-05-2026","","","8,777.53","1,89,885.21","14","1"
"519","30/05/2026","Sound BOX Charges for the monthof MAY-2026","","116.82","","1,89,768.39","14","1"
"520","30/05/2026","BY CASH-6201-ANIL","","","30,000.00","2,19,768.39","14","1"
"521","30/05/2026","UPI/809346397093/CR/Sparsh/PPIW/798665852/Mercha","","","50.00","2,19,818.39","14","1"
"522","30/05/2026","IBNEFT/HDFC/JAI DURGA MEDICALAGENCIES","","20,952.00","","1,98,866.39","14","1"
"523","30/05/2026","IBNEFT/SBIN/MEGHA ENTERPRISES","","14,804.00","","1,84,062.39","14","1"
"524","30/05/2026","IBNEFT/CNRB/REGEN PHARMA","","19,683.00","","1,64,379.39","14","1"
"525","30/05/2026","IBNEFT/KKBK/CHANDIGARHENTERPRISES","","18,574.00","","1,45,805.39","14","1"
"526","30/05/2026","IBNEFT/PUNB/KANSAL MEDICAL HALL","","41,042.00","","1,04,763.39","14","1"
"527","30/05/2026","IBNEFT/CBIN/JOHAR BROTHERS","","35,433.00","","69,330.39","14","1"
"528","30/05/2026","IBNEFT/IDIB/GARG PHARMACEUTICALS","","5,201.00","","64,129.39","14","1"
"529","30/05/2026","IBNEFT/UTIB/NIRMAN ASSOCIATESPVT LTD","","6,018.00","","58,111.39","14","1"
"530","30/05/2026","IBNEFT/PUNB/KAUL AGENCIES","","7,082.00","","51,029.39","14","1"
"531","30/05/2026","IBNEFT/HDFC/CITY ENTERPRISES","","17,119.00","","33,910.39","14","1"
"532","30/05/2026","IBNEFT/YESB/AARK PHARMACEUTICALSPVT LTD","","17,083.00","","16,827.39","14","1"
"533","30/05/2026","IBNEFT/UBIN/CHIEF MEDICALAGENCIES","","9,364.00","","7,463.39","14","1"
"534","30/05/2026","IBNEFT/PUNB/J K SURGICAL OFINDIA","","5,614.00","","1,849.39","14","1"
"535","30/05/2026","DIAGNOSTIC CORPORATI","403777","5,504.00","","-3,654.61","14","1"
"536","30/05/2026","AJAY MEDICAL AGENCY","403773","30,924.00","","-34,578.61","14","1"
"537","31/05/2026","NEFT/AXNPN15104370453/UTIB/PHONEPELIMITED-PAYMENT","","","63,236.80","28,658.19","14","1"
"538","31/05/2026","EDCPOS Credit / ANIL MEDICAL HA/ 31-05-2026","","","5,854.95","34,513.14","14","1"
"539","01/06/2026","NEFT/AXNPN15212148575/UTIB/PHONEPELIMITED-PAYMENT","","","46,645.58","81,158.72","14","1"
"540","01/06/2026","BY CASH-6201- ANIL","","","45,000.00","1,26,158.72","14","1"
